entity_type,n_pairs,total_value,avg_z_score,avg_near_rate,n_entities_total,flagged_per_entity,n_obs
Ministério,0.0,0.0,0.0,0.0,0.0,0.0,2
Freguesia,4.0,3615172.56,2.4991433425208815,0.6411989795918367,1633.0,0.002449479485609308,21
Instituto,6.0,1115538.6,2.9311699189057556,0.7420454545454546,182.0,0.03296703296703297,18
Hospital,16.0,8610567.7,3.2136867865841734,0.80799239340906,63.0,0.25396825396825395,43
Município,21.0,4323908.25,2.792378104756076,0.7096477596477596,375.0,0.056,244
Outro,22.0,6629938.21,2.6621925385399687,0.6792589915479023,5301.0,0.00415016034710432,184
